json_obj,Post,threads
"{'author': {}, 'comments': [""Counter argument: Korra almost never wins a fight. Yes she is aggressive, tenacious and has many skills that could make her a great fighter but she let's her emotions get in the way. Kiyoshi on the hand is a bad ass but would waste her time trying to help or calm down her partner....""], 'id': '8958c8cd776e28a7baa398cf174c998f', 'post': []}",,"Counter argument: Korra almost never wins a fight. Yes she is aggressive, tenacious and has many skills that could make her a great fighter but she let's her emotions get in the way. Kiyoshi on the hand is a bad ass but would waste her time trying to help or calm down her partner...."
"{'author': {}, 'comments': ['Fingers crossed for Flynn.', 'Definitely ❤️', 'A win for Flynn 🌟🌟🌟🌟💯'], 'id': 'a8f75d76413292cb192fcf29a3c2a3cd', 'post': ['Cobb County’s next District Attorney. Vote Flynn Broady in November!']}",Cobb County’s next District Attorney. Vote Flynn Broady in November!,Fingers crossed for Flynn. Definitely ❤️ A win for Flynn 🌟🌟🌟🌟💯
"{'author': {}, 'comments': ['https://nypost.com/.../republican-kim-klacik-shows.../', 'I would like to know the number of these women who are married. We as black people have the lowest marriage rates and having babies out if wedlock is the quickest way to poverty.'], 'id': 'b519ba2a446b4ce2c4b1027c7662578e', 'post': [""Check out this week's episode of WOC at Work, where Rai & Blanca speak with Teree Fruga about the fact that Black women are three to four times more likely to experience a pregnancy-related death than white women. This isn't due to health issues or poverty. Tune in, ok?""]}","Check out this week's episode of WOC at Work, where Rai & Blanca speak with Teree Fruga about the fact that Black women are three to four times more likely to experience a pregnancy-related death than white women. This isn't due to health issues or poverty. Tune in, ok?",https://nypost.com/.../republican-kim-klacik-shows.../ I would like to know the number of these women who are married. We as black people have the lowest marriage rates and having babies out if wedlock is the quickest way to poverty.
"{'author': {}, 'comments': ['Of course he will ATTEMPT to invalidate the election IF he loses.  We supposedly have a checks and balances system in place to ensure democracy wins. America needs to ensure that our system of government will continue forever.', 'He needs to be removed from that office immediately!! Any republicans who stand by that needs to be voted out also. Also, FLIP THE SENATE in 2020'], 'id': 'a9c46824dcd7a23db272d794525d72ad', 'post': ['WOW.  Trump floats the idea that he might try to invalidate this election and that the country might need to do the whole election over. https://www.mediaite.com/…/trump-floats-invalidating-elect…/']}",WOW.  Trump floats the idea that he might try to invalidate this election and that the country might need to do the whole election over. https://www.mediaite.com/…/trump-floats-invalidating-elect…/,"Of course he will ATTEMPT to invalidate the election IF he loses.  We supposedly have a checks and balances system in place to ensure democracy wins. America needs to ensure that our system of government will continue forever. He needs to be removed from that office immediately!! Any republicans who stand by that needs to be voted out also. Also, FLIP THE SENATE in 2020"
"{'author': {}, 'comments': ['Justice is truly coming! One day minorities will be able to walk the streets without fearing for their lives! 💪', 'Glad to have supported her in this election.'], 'id': 'c31ea8f588f93224129f0dcf1f04df3e', 'post': ['\u202aYES!!! 🎉🎉🎉\u202c\u2063 \u2063 \u202aIt’s official!\u202c\u2063 \u2063 \u202aMonique Worrell just won her race to become the State Attorney for Orange and Osceola Counties in Florida. \u202c\u2063... \u2063 \u202aShe is brilliant and brave and will change the justice system from the inside out. \u202cShe will literally be one of the best district attorneys in the nation. \u2063 \u2063 \u202aTHANK YOU SO MUCH to voters, donors, staff, and volunteers.\u202c We love and appreciate you! See More']}","‪YES!!! 🎉🎉🎉‬⁣ ⁣ ‪It’s official!‬⁣ ⁣ ‪Monique Worrell just won her race to become the State Attorney for Orange and Osceola Counties in Florida. ‬⁣... ⁣ ‪She is brilliant and brave and will change the justice system from the inside out. ‬She will literally be one of the best district attorneys in the nation. ⁣ ⁣ ‪THANK YOU SO MUCH to voters, donors, staff, and volunteers.‬ We love and appreciate you! See More",Justice is truly coming! One day minorities will be able to walk the streets without fearing for their lives! 💪 Glad to have supported her in this election.
"{'author': {}, 'comments': ['""With more power comes more responsibility"" .... with that it should come with more scrutiny not salivating praise for ""Status""', 'We - in VT - also have a TRUE Bernie-Progressive as our Democratic candidate for Governor to take on an incumbent R this cycle!David Zuckerman is currently our LT Gov and will run against Republican Phil Scott.  Please support this potentially ground breaking candidacy!#ZuckermanForVT…See More'], 'id': '291ec8a3258003133085c7a2b89b87d2', 'post': ['Two criminal justice reformers in Vermont are trying to use the obscure elected office of high bailiff to hold sheriffs accountable. ""Just the act of voting for a civilian in this position that in recent history has been held by law enforcement sends a powerful message and makes people feel uncomfortable. And making powerful people feel uncomfortable is a good thing, always.""']}","Two criminal justice reformers in Vermont are trying to use the obscure elected office of high bailiff to hold sheriffs accountable. ""Just the act of voting for a civilian in this position that in recent history has been held by law enforcement sends a powerful message and makes people feel uncomfortable. And making powerful people feel uncomfortable is a good thing, always.""","""With more power comes more responsibility"" .... with that it should come with more scrutiny not salivating praise for ""Status"" We - in VT - also have a TRUE Bernie-Progressive as our Democratic candidate for Governor to take on an incumbent R this cycle!David Zuckerman is currently our LT Gov and will run against Republican Phil Scott.  Please support this potentially ground breaking candidacy!#ZuckermanForVT…See More"
"{'author': {}, 'comments': ['The legal system is ill equipped to handle DV. The rate of DV among military and paramilitary organizations, like police, is higher than among the general population. The courts often release DV offenders pending trial, putting victims at greater risk.…See More', 'That’s what I want as a woman; I want society to think assaulting me is not a criminal offence worthy of legal attention so long as you’re my boyfriend/spouse.  That’s progress.  That’s equality.'], 'id': '09748c8cb1236eccb0fd0057018748d1', 'post': ['Rates of reporting domestic violence are low in immigrant communities, where survivors of abuse often don’t want to involve the police. As an alternative, the de Blasio administration promised to fund community-based domestic violence programming in New York City. But those funds have been delayed, and advocates fear programs with the strongest community ties may not meet the city’s stringent requirements for funding. “There’s always a very legitimate and very valid fear that police will brutalize the person who is calling for help.”']}","Rates of reporting domestic violence are low in immigrant communities, where survivors of abuse often don’t want to involve the police. As an alternative, the de Blasio administration promised to fund community-based domestic violence programming in New York City. But those funds have been delayed, and advocates fear programs with the strongest community ties may not meet the city’s stringent requirements for funding. “There’s always a very legitimate and very valid fear that police will brutalize the person who is calling for help.”","The legal system is ill equipped to handle DV. The rate of DV among military and paramilitary organizations, like police, is higher than among the general population. The courts often release DV offenders pending trial, putting victims at greater risk.…See More That’s what I want as a woman; I want society to think assaulting me is not a criminal offence worthy of legal attention so long as you’re my boyfriend/spouse.  That’s progress.  That’s equality."
"{'author': {}, 'comments': [""Couple of digs by the author of the article. But, Michelle Obama is great. Wish she were to be our president, but she hates politics and I really can't blame her at all.  Love her."", 'What an role model. Such compassion sincerity elogence....THANK you Former First Lady Michelle Obama.'], 'id': '5cc93352660d94901a69d84c55fee2cd', 'post': ['Reflections on Michelle Obama to the Rescue at the DNC Convention from Donney Rose, on The North Star. Click the link to read the entire piece, ok?']}","Reflections on Michelle Obama to the Rescue at the DNC Convention from Donney Rose, on The North Star. Click the link to read the entire piece, ok?","Couple of digs by the author of the article. But, Michelle Obama is great. Wish she were to be our president, but she hates politics and I really can't blame her at all.  Love her. What an role model. Such compassion sincerity elogence....THANK you Former First Lady Michelle Obama."
"{'author': {}, 'comments': [""Is it true that the mind doesn't respond with the same outrage when the victim is not male or it is when there is no image/video of the murder to go viral? I think there’s probably a correlation but a Twitter feed is not a great source."", 'But not categorized as cis male bc I believe the victim was a trans man'], 'id': '8e3b572e7c60ee98669fcbd3a0ba84ff', 'post': ['This is a most important point: why/how the mind does not respond with the same outrage when the victim is Black but not male. Thank you.']}",This is a most important point: why/how the mind does not respond with the same outrage when the victim is Black but not male. Thank you.,Is it true that the mind doesn't respond with the same outrage when the victim is not male or it is when there is no image/video of the murder to go viral? I think there’s probably a correlation but a Twitter feed is not a great source. But not categorized as cis male bc I believe the victim was a trans man
"{'author': {}, 'comments': ['Hi all, I am postponing this event until same time next week. I had a small injury but hoping to be better by then. Sorry for the inconvenience!'], 'id': '176151aba64bc83937df13123c4ac427', 'post': ['I\'ll be doing an Instagram Live event on May 14th to talk titled ""Afropessimism and the Paradox of Storytelling"". Join me!']}","I'll be doing an Instagram Live event on May 14th to talk titled ""Afropessimism and the Paradox of Storytelling"". Join me!","Hi all, I am postponing this event until same time next week. I had a small injury but hoping to be better by then. Sorry for the inconvenience!"
"{'author': {}, 'comments': ['Sounds good!', 'Right On!'], 'id': '5fe7531795cd5acf1e8a5349575b3edd', 'post': ['I will be doing an event with the Philadelphia Free Library next Tuesday, April 28th. Join us!']}","I will be doing an event with the Philadelphia Free Library next Tuesday, April 28th. Join us!",Sounds good! Right On!
"{'author': {}, 'comments': ['i really enjoyed hearing the comments on fusing creative writing with theoretical thinking&writing, as much as I admired hearing you read the opening story (though the comments on the Palestine friend, i need to process that).', 'Great to hear from Frank himself'], 'id': 'e8f69446b4e54bcdeba1431ce4be6314', 'post': ['Author Frank Wilderson reads from his new book “Afropessimism”, and takes your questions live.']}","Author Frank Wilderson reads from his new book “Afropessimism”, and takes your questions live.","i really enjoyed hearing the comments on fusing creative writing with theoretical thinking&writing, as much as I admired hearing you read the opening story (though the comments on the Palestine friend, i need to process that). Great to hear from Frank himself"
"{'author': {}, 'comments': [""So sorry everyone. Having Facebook issues but we are working on fixing them. Hopefully we'll be up by 2:20pm EST."", 'working on a technical snafu. Stand by.'], 'id': '5a3d3949a13ebe50278991bd7dd181aa', 'post': ['Frank Wilderson reads from his new book, ""Afropessimism"", and takes your questions. We\'d love to hear/read your questions in advance. Please submit them below.']}","Frank Wilderson reads from his new book, ""Afropessimism"", and takes your questions. We'd love to hear/read your questions in advance. Please submit them below.",So sorry everyone. Having Facebook issues but we are working on fixing them. Hopefully we'll be up by 2:20pm EST. working on a technical snafu. Stand by.
"{'author': {}, 'comments': [""Thanks so much for sharing this!! Hope it's helpful!!"", 'It was a great read.  Let us know when the video from your talk last night, Tia Madkins.'], 'id': '4c9d25757019da7c59d6cf7826306eb1', 'post': ['Drs. Tia Madkins and Alexis Williams discuss how classrooms can center #love and #humanizingpedagogies for the fall.']}",Drs. Tia Madkins and Alexis Williams discuss how classrooms can center #love and #humanizingpedagogies for the fall.,"Thanks so much for sharing this!! Hope it's helpful!! It was a great read.  Let us know when the video from your talk last night, Tia Madkins."
"{'author': {}, 'comments': ['More power to you. May you be given the platform you deserve to educate the masses.', 'I have read your book The man-not 2 times. This is very important information. Thank you sir for putting this information out.'], 'id': '18452bf1eef58bb127ff58995f8a600d', 'post': [""The Man-Not was recommended in Men's Health by Yahya Abdul-Mateen. https://www.menshealth.com/…/yahya-abdul-mateen-ii-readin…/…""]}",The Man-Not was recommended in Men's Health by Yahya Abdul-Mateen. https://www.menshealth.com/…/yahya-abdul-mateen-ii-readin…/…,More power to you. May you be given the platform you deserve to educate the masses. I have read your book The man-not 2 times. This is very important information. Thank you sir for putting this information out.
"{'author': {}, 'comments': ['https://youtu.be/EoU2YL3hWvk'], 'id': '68d68acfa2bb2f6d8e2d8051a7bf4b06', 'post': ['Black degradation was primarily a labor policy. Black emancipation will come primarily in the form of a labor policy. Do not trust ANYBODY who says that black community problems can be fixed without better labor policy. From King\'s ""Showdown for Nonviolence"", released a week after his assassination 50 years ago:... http://www.thekingcenter.org/…/document/showdown-nonviolence See More']}","Black degradation was primarily a labor policy. Black emancipation will come primarily in the form of a labor policy. Do not trust ANYBODY who says that black community problems can be fixed without better labor policy. From King's ""Showdown for Nonviolence"", released a week after his assassination 50 years ago:... http://www.thekingcenter.org/…/document/showdown-nonviolence See More",https://youtu.be/EoU2YL3hWvk
"{'author': {}, 'comments': ['You need to recycle this as is every couple of weeks as we draw closer to said elections.', 'Failure to understand advocacy and public policy produces nothing.'], 'id': '846945fa35aca39e0b94bf3a39b542e4', 'post': ['As we get closer to the upcoming elections, I want to reveal a few of the tricks candidates use to avoid allowing themselves to be politically accountable. Including: 1) ""I have experience, so I don\'t need a labor or racial justice policy plan."" 2) ""I was born in the community, so I don\'t need a labor or racial justice policy plan.""... 3) ""I do good works, e.g., coach little league, so I don\'t need a labor or racial justice policy plan."" 4) ""I grew up poor, so I don\'t need a labor or racial justice policy plan. (This last one is funny, because just because someone escaped poverty doesn\'t mean they have insight into governing for community uplift. That\'s like finding someone who escaped jail, and expecting them to have a plan to end mass incarceration, when what they really know is how to do all of the grimy, grimy business-- paying off guards, crawling through sewers, exchanging sexual favors-- required for an individual escape.)"" 5) ""I\'d be the first black or first latinx or first LGBTQ or youngest. etc., so I don\'t need to articulate a labor or racial justice policy plan."" 6) ""We need to be unified, so I don\'t need to articulate a labor or racial justice policy plan."" - 6a. ""But, but, but Trump!""  I\'m still going to need you to articulate a labor and racial justice platform. Remember, one of the most important qualities in a political candidate is the ability to remove him/her in the next election. You don\'t want to install anyone to an office where it\'s going to require a crane and a team of engineers to dislodge them if they don\'t govern appropriately. https://www.youtube.com/watch?v=y2Hmc8PomkM See More']}","As we get closer to the upcoming elections, I want to reveal a few of the tricks candidates use to avoid allowing themselves to be politically accountable. Including: 1) ""I have experience, so I don't need a labor or racial justice policy plan."" 2) ""I was born in the community, so I don't need a labor or racial justice policy plan.""... 3) ""I do good works, e.g., coach little league, so I don't need a labor or racial justice policy plan."" 4) ""I grew up poor, so I don't need a labor or racial justice policy plan. (This last one is funny, because just because someone escaped poverty doesn't mean they have insight into governing for community uplift. That's like finding someone who escaped jail, and expecting them to have a plan to end mass incarceration, when what they really know is how to do all of the grimy, grimy business-- paying off guards, crawling through sewers, exchanging sexual favors-- required for an individual escape.)"" 5) ""I'd be the first black or first latinx or first LGBTQ or youngest. etc., so I don't need to articulate a labor or racial justice policy plan."" 6) ""We need to be unified, so I don't need to articulate a labor or racial justice policy plan."" - 6a. ""But, but, but Trump!""  I'm still going to need you to articulate a labor and racial justice platform. Remember, one of the most important qualities in a political candidate is the ability to remove him/her in the next election. You don't want to install anyone to an office where it's going to require a crane and a team of engineers to dislodge them if they don't govern appropriately. https://www.youtube.com/watch?v=y2Hmc8PomkM See More",You need to recycle this as is every couple of weeks as we draw closer to said elections. Failure to understand advocacy and public policy produces nothing.
"{'author': {}, 'comments': ['Wow! This lecture made me think and gave me the definitive definition of what freedom is and what we are trying as a people to liberate ourselves from. So long as capitalism is the dominant economic system, we will never attain actual freedom; we will…See More', ""I'm not an anti-capitalist, we just need to ensure that capitalism serves our freedom and not the other way around. For example, the Federal Job Guarantee at a fair wage RESCUES capitalism, by giving people a guaranteed way to earn enough money to actively participate, rather than be a tool of the market.""], 'id': '0da837a34a2f7cef088a084182841488', 'post': ['https://www.youtube.com/watch?v=MAxklYtRC9Y']}",https://www.youtube.com/watch?v=MAxklYtRC9Y,"Wow! This lecture made me think and gave me the definitive definition of what freedom is and what we are trying as a people to liberate ourselves from. So long as capitalism is the dominant economic system, we will never attain actual freedom; we will…See More I'm not an anti-capitalist, we just need to ensure that capitalism serves our freedom and not the other way around. For example, the Federal Job Guarantee at a fair wage RESCUES capitalism, by giving people a guaranteed way to earn enough money to actively participate, rather than be a tool of the market."
"{'author': {}, 'comments': ['Try as you may,  You cannot burn away the love the Muslim people have for Allah. This does nothing but shed light on the hatred in the world. They will rebuild with cinder blocks and Steele!', 'Aima, you get more traffic. Maybe folks can donate via your wall.'], 'id': '3e7e365437fc253a74e3381925d95e89', 'post': ['https://www.facebook.com/osman.salahuddin/posts/1596058287178315 ""Someone set the mosque in Bellevue on fire again for the second time in a year.... what has this world come to 😞😞 Inshallah if anyone would like to make a donation to help in the rebuild, the link to the mosque website donation page is here: ... http://www.eastsidemosque.com/donations.php#one"" See More']}","https://www.facebook.com/osman.salahuddin/posts/1596058287178315 ""Someone set the mosque in Bellevue on fire again for the second time in a year.... what has this world come to 😞😞 Inshallah if anyone would like to make a donation to help in the rebuild, the link to the mosque website donation page is here: ... http://www.eastsidemosque.com/donations.php#one"" See More","Try as you may,  You cannot burn away the love the Muslim people have for Allah. This does nothing but shed light on the hatred in the world. They will rebuild with cinder blocks and Steele! Aima, you get more traffic. Maybe folks can donate via your wall."
"{'author': {}, 'comments': [""Thank you for offering this Teach-In!  It's important and appreciated."", 'How do I sign up!'], 'id': 'b06c4b06d9959423dae6ade4a26357e9', 'post': ['#poorpeoplescampaign #wappc #blacklivesmatter #blackaugust']}",#poorpeoplescampaign #wappc #blacklivesmatter #blackaugust,Thank you for offering this Teach-In!  It's important and appreciated. How do I sign up!
"{'author': {}, 'comments': ['Just got to leave a message at the Bowling Green office. Keep calling.'], 'id': '1a09173eaa969194f8b3bb1c88df1f41', 'post': ['This Monday, Aug. 10, we are coming back for a second Moral Monday March on McConnell, where we will stage a digital “sit-in” and massive call-in to Senator McConnell’s offices to demand he stop causing misery, meanness and mayhem for our people and nation. Earlier this week, we mobilized thousands of people for an online Moral Monday March and call-in to the offices of Senate Majority Leader Mitch McConnell to demand a full and just relief package. Together we flooded McConn...ell’s phone lines with thousands of calls. And now is no time to stop pushing!  It’s clear now that McConnell is willing to sacrifice the safety of the poor, of low-wage workers, of teachers and even our children in his effort to continue an extremist agenda in tandem with the White House to block a full and just relief package and force schools to re-open even when it’s not safe to do so. Join us on Monday, August. 10 at 3:30pm ET for a Moral Monday Digital March on McConnell! See More']}","This Monday, Aug. 10, we are coming back for a second Moral Monday March on McConnell, where we will stage a digital “sit-in” and massive call-in to Senator McConnell’s offices to demand he stop causing misery, meanness and mayhem for our people and nation. Earlier this week, we mobilized thousands of people for an online Moral Monday March and call-in to the offices of Senate Majority Leader Mitch McConnell to demand a full and just relief package. Together we flooded McConn...ell’s phone lines with thousands of calls. And now is no time to stop pushing!  It’s clear now that McConnell is willing to sacrifice the safety of the poor, of low-wage workers, of teachers and even our children in his effort to continue an extremist agenda in tandem with the White House to block a full and just relief package and force schools to re-open even when it’s not safe to do so. Join us on Monday, August. 10 at 3:30pm ET for a Moral Monday Digital March on McConnell! See More",Just got to leave a message at the Bowling Green office. Keep calling.
"{'author': {}, 'comments': ['Every Arab in the West Bank in 1967 was a Jordanian citizen.'], 'id': '22ab6524ae663ff11e0a483d96dfcf6b', 'post': ['Today is Yoom El Naksa - Arabic for the “day of setback”. It began what we now know is the military occupation of the West Bank and Gaza. It was the day of expulsion of over 600,000 Palestinians.  After the 6 day war, israel took control of Gaza, the West Bank, - both populated with Palestinians - Syria’s Gonna Heights, and the Sinai Peninsula. While many Palestinians were displaced internally, going from refugee camp to refugee camp in the West Bank, many fled to Jordan, Leb...anon and Syria.  The Sinai Peninsula was eventually returned to Egypt, but the other territories remain under the military regime of the colonial state.  Yoom El Naksa marks another Nakba - scarfing the next generation of Palestinians.  We honor the lives displaced by this tragedy, clinging onto the resolve to someday return home. See More']}","Today is Yoom El Naksa - Arabic for the “day of setback”. It began what we now know is the military occupation of the West Bank and Gaza. It was the day of expulsion of over 600,000 Palestinians.  After the 6 day war, israel took control of Gaza, the West Bank, - both populated with Palestinians - Syria’s Gonna Heights, and the Sinai Peninsula. While many Palestinians were displaced internally, going from refugee camp to refugee camp in the West Bank, many fled to Jordan, Leb...anon and Syria.  The Sinai Peninsula was eventually returned to Egypt, but the other territories remain under the military regime of the colonial state.  Yoom El Naksa marks another Nakba - scarfing the next generation of Palestinians.  We honor the lives displaced by this tragedy, clinging onto the resolve to someday return home. See More",Every Arab in the West Bank in 1967 was a Jordanian citizen.
"{'author': {}, 'comments': ['France kept there revolutionary anthem after all this time they get credit for that..', 'Miguel Monteiro I live for these posts.'], 'id': '70493a4db1485c364348a4611cd2b942', 'post': ['French anthem:  “To arms, citizens! Form your battalions! Let’s march, let’s march... That their impure blood Should water our fields.” Algerians: “these mfs spittin’” Vietnamese: “these mfs spittin’” French West Africa: “these mfs spittin’” French: “oh fuck.” See More']}","French anthem:  “To arms, citizens! Form your battalions! Let’s march, let’s march... That their impure blood Should water our fields.” Algerians: “these mfs spittin’” Vietnamese: “these mfs spittin’” French West Africa: “these mfs spittin’” French: “oh fuck.” See More",France kept there revolutionary anthem after all this time they get credit for that.. Miguel Monteiro I live for these posts.
"{'author': {}, 'comments': [""No that's not what happened"", 'Kodak Art I know lol', ""Germany isn't real""], 'id': 'b9d9a53a40baff18119b5739c25b77af', 'post': ['Belgium isn’t a real country they just kidnapped a bunch of French and Dutch people and gave them a king']}",Belgium isn’t a real country they just kidnapped a bunch of French and Dutch people and gave them a king,No that's not what happened Kodak Art I know lol Germany isn't real
"{'author': {}, 'comments': ['Shame really just how many people are outraged now at the death of her and George Floyd, imagine if they knew of the always existing disarming and shooting of blacks by pigs with no consequences from the reconstruction era to today and we might have more comrades.'], 'id': 'f73f95fff2939831fba3722df32f5c1d', 'post': ['Why haven’t they arrested the cops who killed Breonna Taylor? What is going to happen if they don’t? More marches? Petitions? Tweets? Somebody breaks a window or something? They aren’t doing it because they are not compelled to and there are no real consequences for failure to do so.']}",Why haven’t they arrested the cops who killed Breonna Taylor? What is going to happen if they don’t? More marches? Petitions? Tweets? Somebody breaks a window or something? They aren’t doing it because they are not compelled to and there are no real consequences for failure to do so.,"Shame really just how many people are outraged now at the death of her and George Floyd, imagine if they knew of the always existing disarming and shooting of blacks by pigs with no consequences from the reconstruction era to today and we might have more comrades."
"{'author': {}, 'comments': ['Allies to who? Context is important', 'I see that whether on the left or right, the irony of Americans complaining about others getting involved in their business is lost xd.'], 'id': 'f12512552be3783050490d642041f77b', 'post': ['Some Europeans call themselves “allies” just so they can meddle and interfere in our business or build careers for themselves while we suffer and go to prison. Be wary.']}",Some Europeans call themselves “allies” just so they can meddle and interfere in our business or build careers for themselves while we suffer and go to prison. Be wary.,"Allies to who? Context is important I see that whether on the left or right, the irony of Americans complaining about others getting involved in their business is lost xd."
"{'author': {}, 'comments': ['sorry mom', 'how did you know?'], 'id': '233809bd16685972dd28ab762b475a8c', 'post': ['🤷🏾\u200d♂️']}",🤷🏾‍♂️,sorry mom how did you know?
